,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.15995552111853406,0.29116261297007595,0.39994439753362476,0.7361929845392865,0.8582196481225266,0.846712705558961,0.14519726981305242,0.2848372532703476,0.38104759520701925,0.7491076260502498,0.8666888875672984,0.8499595998655993
DecisionTreeRegressor,0.2994752158061415,0.41531966673015874,0.5472432875843627,0.5060898033789898,0.7438980195152768,0.7262586036726567,0.15309312402522415,0.28363737112301596,0.3912711643160331,0.7354640526538386,0.8584296926137746,0.8449760077102213
RandomForestRegressor,0.15245198633051144,0.28702663132624007,0.39045100375144565,0.74856820675101,0.865201452752238,0.8523157335388513,0.1487046562406341,0.2846256844035557,0.3856224270457232,0.7430470678296435,0.8630771717643276,0.850380679337247
GradientBoostingRegressor,0.1562096509765142,0.2902908659721596,0.39523366629946166,0.7423708695885769,0.8617847865875723,0.8486107556091002,0.1480490057306274,0.2846080483628155,0.3847713681273951,0.744179993491047,0.863906011948093,0.8482512845736783
AdaBoostRegressor,0.16927557426109158,0.3131294583530324,0.4114311294264103,0.7208218652038598,0.8501176392705949,0.8308265921263628,0.17097747490015097,0.3188719183666115,0.41349422595745033,0.704560942331324,0.8438925424347877,0.8318803356164558
XGBRegressor,0.1724124987185138,0.3020325125265188,0.41522584061991347,0.7156482852420589,0.8470950317058041,0.8328134743600769,0.1455348701512229,0.2865516881489006,0.38149032772958075,0.7485242724486367,0.8663851409891761,0.8507128934172825
ExtraTreesRegressor,0.14972760735601276,0.28180258059599217,0.38694651743621206,0.753061395115004,0.8677917670558386,0.856206982487064,0.15033572949924642,0.2882816515069842,0.38773151728902105,0.7402286688165898,0.8616914223833034,0.8475433611164467
LinearRegression,0.15239498278208857,0.29106352437074606,0.39037799986947086,0.7486622199859077,0.8654208830633877,0.8577489289897923,0.14523055220796713,0.2839957223811702,0.3810912649326499,0.749050116022123,0.8669995557884856,0.8536994455024781
KNeighborsRegressor,0.17069691716764196,0.31026999890317464,0.4131548343752521,0.718477712107416,0.8482122566842039,0.83195682956847,0.17242034081366348,0.31290153101063495,0.41523528368102763,0.702067754582006,0.839185695597131,0.8191590497767641
SVR,0.16320588203247754,0.29646732858638913,0.4039874775688939,0.7308323192375732,0.8551905569849447,0.8424558894210485,0.14090334159228873,0.28207984690982496,0.3753709386623966,0.7565272823996034,0.8700711877561735,0.856754990127997
MLPRegressor,0.22052364272821862,0.36349186762473223,0.4695994492418178,0.6363008690175483,0.7986699587449855,0.7824189121285732,0.18241690242786024,0.33521790903843607,0.42710291784048987,0.6847942818924024,0.8393056177522996,0.8271245688563832
